! item=12.01 file=C:\Users\lenovo\OneDrive\Desktop\semesters\Fourth year\Second Semester\ENCS5344\Spoken_Assignment\assi\part8\part8life.sfs
! posn size v   gain;   F1   B1 A1;   F2   B2 A2;   F3   B3 A3;   F4   B4 A4;   F5   B5 A5;
!
 550.0 20.0 0   81.8; 2269  533 79; 4037 1013 75; 6269  726 77;    0    0  0;    0    0  0; 
 560.0 20.0 1   81.0;  863  173 69; 2529  156 64; 3659  177 58; 6099  165 57; 7189   77 57; 
 570.0 20.0 1   80.7; 1960  173 66; 3696  185 58; 4575  172 56; 5676  188 54; 7217   53 59; 
 580.0 20.0 1   80.5; 3766  172 58; 4585   94 60; 5644  145 55; 6382  112 55; 7273   44 57; 
 590.0 20.0 1   80.1; 1911  245 64; 3789  201 58; 4562  242 55; 5647  183 56; 7158  166 48; 
 600.0 20.0 0   78.0;  581 1630 64; 2439  357 74; 4426  424 73; 6221  383 74;    0    0  0; 
 610.0 20.0 1   75.6;  934  187 63; 2018  185 62; 5593  252 52; 6258  266 50; 7140  138 48; 
 620.0 20.0 0   74.2; 1543 1275 67; 2225  630 70; 4470  296 74; 6359  360 70;    0    0  0; 
 630.0 20.0 0   72.7; 2058  316 70; 4363  389 71; 6177  524 69;    0    0  0;    0    0  0; 
 640.0 20.0 0   73.3; 2124  301 70; 4366  372 69; 6396  674 65;    0    0  0;    0    0  0; 
 650.0 20.0 0   72.1; 2268  425 67; 4065  687 64; 6106  383 68;    0    0  0;    0    0  0; 
 660.0 20.0 0   69.4; 1234 1335 59; 2408  850 62; 4412  615 64; 6259  622 62;    0    0  0; 
 670.0 20.0 1   69.9; 2386  203 51; 3559  159 48; 4450  193 45; 5369  185 43; 7168   96 39; 
 680.0 20.0 0   69.5; 1004  620 61; 2570  520 62; 4415  450 62; 6259  374 61;    0    0  0; 
 690.0 20.0 1   67.7; 1698  237 51; 3664  247 43; 5274  197 38; 6379  230 32; 7135   57 40; 
 700.0 20.0 1   68.3; 2498  141 50; 3619   96 46; 4612  198 36; 6322  235 34; 7076  134 31; 
 710.0 28.2 1   70.5; 2794  342 44; 3688  226 42; 5427  194 37; 6330  194 33; 7121   94 33; 
